Data;0-39;40-59;60-79;80-89;>= 90
26/10/20;0;6,00%;24,40%;48,00%;21,60%
27/10/20;0,84%;5,04%;33,19%;41,60%;19,33%
28/10/20;0;3,59%;35,29%;38,89%;22,22%
29/10/20;0,67%;2,34%;27,09%;44,15%;25,75%
30/10/20;0,28%;4,75%;29,61%;43,02%;22,35%
31/10/20;0,26%;2,38%;30,95%;45,24%;21,16%
01/11/20;0,28%;3,32%;30,75%;41,83%;23,82%
02/11/20;0,45%;4,90%;30,96%;44,54%;19,15%
03/11/20;0,69%;2,75%;34,40%;40,14%;22,02%
04/11/20;0,21%;2,75%;32,14%;41,86%;23,04%
05/11/20;0,54%;2,53%;30,87%;43,86%;22,20%
06/11/20;0;4,02%;31,23%;42,53%;22,22%
07/11/20;0,80%;3,98%;34,39%;41,35%;19,48%
08/11/20;0,53%;4,74%;32,11%;42,63%;20,00%
09/11/20;0,16%;3,13%;32,45%;45,47%;18,78%
10/11/20;0;4,65%;33,63%;40,99%;20,72%
11/11/20;0,29%;2,65%;35,84%;42,04%;19,17%
12/11/20;0,27%;4,12%;31,14%;42,80%;21,67%
13/11/20;0;6,55%;31,99%;41,07%;20,39%
14/11/20;0;4,87%;30,37%;44,27%;20,49%
15/11/20;0,28%;3,44%;32,78%;42,98%;20,52%
16/11/20;0,39%;4,04%;32,03%;43,75%;19,79%
17/11/20;0,88%;5,16%;33,38%;41,56%;19,02%
18/11/20;0,37%;4,86%;34,50%;41,34%;18,93%
19/11/20;0,25%;4,69%;35,43%;38,27%;21,36%
20/11/20;0,38%;2,80%;32,53%;43,58%;20,71%
21/11/20;0,29%;2,79%;33,97%;42,06%;20,88%
22/11/20;0,14%;3,31%;30,72%;43,80%;22,04%
23/11/20;0,52%;3,78%;35,03%;40,10%;20,57%
24/11/20;0,13%;3,88%;34,11%;39,15%;22,74%
25/11/20;0,24%;3,14%;33,82%;43,48%;19,32%
26/11/20;0,41%;3,78%;32,16%;42,70%;20,95%
