Data;Area Vasta;Nuovi Positivi (0-18 anni);Nuovi Positivi Totali;Rapporto Nuovi Positivi 0-18 su Nuovi Positivi Totali;Popolazione (0-18 anni);Tasso Nuovi Positivi su 100.000 (0-18 anni);Tamponi Effettuati (0-18 anni);% Nuovi Positivi su Popolazione (0-18 anni);% Nuovi Positivi su Tamponi (0-18 anni)
20/12/2021 - 26/12/2021;Totale;3313;16939;19,56%;571.139;580,07;42.531;0,58%;7,80%
;;;;;;;;;
27/12/2021 - 02/01/2022;Area Vasta Sud-Est;2420;14113;17,15%;124.263;1.947,48;14.436;1,95%;16,80%
27/12/2021 - 02/01/2022;Area Vasta Nord-Ovest;3406;19769;17,23%;188.309;1.808,73;16.577;1,81%;20,50%
27/12/2021 - 02/01/2022;Area Vasta Centro;5819;34795;16,72%;258.567;2.250,48;25.502;2,25%;22,80%
27/12/2021 - 02/01/2022;Totale;11645;68677;16,96%;571.139;2.038,91;56.515;2,04%;20,60%
;;;;;;;;;
03/01/2022 - 09/01/2022;Area Vasta Sud-Est;3011;17896;16,82%;124.263;2.423,09;14.254;2,42%;21,10%
03/01/2022 - 09/01/2022;Area Vasta Nord-Ovest;4827;29221;16,52%;188.309;2.563,34;18.242;2,56%;26,50%
03/01/2022 - 09/01/2022;Area Vasta Centro;7860;48859;16,09%;258.567;3.039,83;30.794;3,04%;25,50%
03/01/2022 - 09/01/2022;Totale;15698;95976;16,36%;571.139;2.748,54;63.290;2,75%;24,80%
;;;;;;;;;
10/01/2022 - 16/01/2022;Area Vasta Sud-Est;3271;15610;20,95%;124.263;2.632,32;18.495;2,63%;17,70%
10/01/2022 - 16/01/2022;Area Vasta Nord-Ovest;5983;27182;22,01%;188.309;3.177,22;26.176;3,18%;22,90%
10/01/2022 - 16/01/2022;Area Vasta Centro;8142;39687;20,52%;258.567;3.148,89;37.728;3,15%;21,60%
10/01/2022 - 16/01/2022;Totale;17396;82479;21,09%;571.139;3.045,84;82.399;3,05%;21,10%
;;;;;;;;;
17/01/2022 - 23/01/2022;Area Vasta Sud-Est;4.677;15.552;30,07%;124.263;3.763,79;19.878;3,76%;23,50%
17/01/2022 - 23/01/2022;Area Vasta Nord-Ovest;7.748;27.501;28,17%;188.309;4.114,51;32.540;4,11%;23,80%
17/01/2022 - 23/01/2022;Area Vasta Centro;11.632;39.799;29,23%;258.567;4.498,64;45.325;4,50%;25,70%
17/01/2022 - 23/01/2022;Totale;24.057;82.852;29,04%;571.139;4.212,11;97.743;4,21%;24,60%
;;;;;;;;;
24/01/2022 - 30/01/2022;Area Vasta Sud-Est;4.574;14.276;32,04%;124.263;3.680,90;23.814;3,68%;19,20%
24/01/2022 - 30/01/2022;Area Vasta Nord-Ovest;7.189;23.766;30,25%;188.309;3.817,66;37.236;3,82%;19,30%
24/01/2022 - 30/01/2022;Area Vasta Centro;10.156;32.908;30,86%;258.567;3.927,80;52.447;3,93%;19,40%
24/01/2022 - 30/01/2022;Totale;21.919;70.950;30,89%;571.139;3.837,77;113.497;3,84%;19,30%
;;;;;;;;;
31/01/2022 - 06/02/2022;Area Vasta Sud-Est;3.342;10.787;30,98%;124.263;2.689,46;20.227;2,69%;16,50%
31/01/2022 - 06/02/2022;Area Vasta Nord-Ovest;5.055;17.134;29,50%;188.309;2.684,42;31.668;2,68%;16,00%
31/01/2022 - 06/02/2022;Area Vasta Centro;6.480;21.098;30,71%;258.567;2.506,12;43.515;2,51%;14,90%
31/01/2022 - 06/02/2022;Totale;14.877;49.019;30,35%;571.139;2.604,79;95.410;2,60%;15,60%
;;;;;;;;;
07/02/2022 - 13/02/2022;Area Vasta Sud-Est;2.179;7.017;31,05%;124.263;1.753,54;13.617;1,75%;16,00%
07/02/2022 - 13/02/2022;Area Vasta Nord-Ovest;3.298;11.081;29,76%;188.309;1.751,38;22.100;1,75%;14,90%
07/02/2022 - 13/02/2022;Area Vasta Centro;3.717;12.731;29,20%;258.567;1.437,54;26.614;1,44%;14,00%
07/02/2022 - 13/02/2022;Totale;9.194;30.829;29,82%;571.139;1.609,77;62.331;1,61%;14,80%
;;;;;;;;;
14/02/2022 - 20/02/2022;Area Vasta Sud-Est;1.761;5.618;31,35%;124.263;1.417,16;9.010;1,42%;19,50%
14/02/2022 - 20/02/2022;Area Vasta Nord-Ovest;2.286;8.243;27,73%;188.309;1.213,96;13.654;1,21%;16,70%
14/02/2022 - 20/02/2022;Area Vasta Centro;2.212;8.093;27,33%;258.567;855,48;15.164;0,86%;14,60%
14/02/2022 - 20/02/2022;Totale;6.259;21.954;28,51%;571.139;1.095,88;37.828;1,10%;16,50%
