Data;Provincia;Nuovi Positivi (0-18 anni);Nuovi Positivi Totali;Rapporto Nuovi Positivi 0-18 su Nuovi Positivi Totali;Popolazione (0-18 anni);Tasso Nuovi Positivi su 100.000 (0-18 anni);Tamponi Effettuati (0-18 anni);% Nuovi Positivi su Popolazione (0-18 anni);% Nuovi Positivi su Tamponi (0-18 anni)
13/12/2021 - 19/12/2021;Pistoia;181;757;23,91%;45.599;396,94;3.115;0,40%;5,80%
13/12/2021 - 19/12/2021;Siena;72;436;16,51%;40.917;175,97;3.669;0,18%;2,00%
13/12/2021 - 19/12/2021;Totale;1.905;7.502;25,39%;571.139;333,54;42.647;0,33%;4,50%
;;;;;;;;;
20/12/2021 - 26/12/2021;Arezzo;441;1.851;23,82%;52.240;844,18;4.584;0,84%;9,60%
20/12/2021 - 26/12/2021;Firenze;996;5.114;19,48%;156.593;636,04;13.581;0,64%;7,30%
20/12/2021 - 26/12/2021;Grosseto;158;777;20,33%;31.106;507,94;2.644;0,51%;6,00%
20/12/2021 - 26/12/2021;Livorno;258;1.245;20,72%;48.911;527,49;3.528;0,53%;7,30%
20/12/2021 - 26/12/2021;Lucca;288;1.683;17,11%;57.349;502,19;3.539;0,50%;8,10%
20/12/2021 - 26/12/2021;Massa Carrara;139;775;17,94%;26.637;521,83;1.124;0,52%;12,40%
20/12/2021 - 26/12/2021;Pisa;355;1.685;21,07%;66.994;529,9;4.010;0,53%;8,90%
20/12/2021 - 26/12/2021;Prato;188;1.084;17,34%;44.793;419,71;2.486;0,42%;7,60%
20/12/2021 - 26/12/2021;Pistoia;208;1.115;18,65%;45.599;456,15;3.236;0,46%;6,40%
20/12/2021 - 26/12/2021;Siena;282;1.610;17,52%;40.917;689,2;3.799;0,69%;7,40%
20/12/2021 - 26/12/2021;Totale;3.313;16.939;19,56%;571.139;580,07;42.531;0,58%;7,80%
;;;;;;;;;
27/12/2021 - 02/01/2022;Arezzo;1.097;6.455;16,99%;52.240;2.099,92;6.140;2,10%;17,90%
27/12/2021 - 02/01/2022;Firenze;4.069;23.593;17,25%;156.593;2.598,46;17.080;2,60%;23,80%
27/12/2021 - 02/01/2022;Grosseto;308;1.911;16,12%;31.106;990,16;2.789;0,99%;11,00%
27/12/2021 - 02/01/2022;Livorno;616;3.916;15,73%;48.911;1.259,43;4.038;1,26%;15,30%
27/12/2021 - 02/01/2022;Lucca;1.104;6.486;17,02%;57.349;1.925,06;5.030;1,93%;21,90%
27/12/2021 - 02/01/2022;Massa Carrara;458;2.805;16,33%;26.637;1.719,41;1.441;1,72%;31,80%
27/12/2021 - 02/01/2022;Pisa;1.464;7.862;18,62%;66.994;2.185,27;6.976;2,19%;21,00%
27/12/2021 - 02/01/2022;Prato;761;5.068;15,02%;44.793;1.698,93;3.212;1,70%;23,70%
