Data;Provincia;Nido;Materna;Elementari;Medie;Superiori
20-26 dicembre 2021;Torino città;3;11;35;5;14
20-26 dicembre 2021;Torino Area metropolitana;0;3;37;20;17
20-26 dicembre 2021;Cuneo;1;4;11;3;8
20-26 dicembre 2021;Vco;0;0;0;0;0
20-26 dicembre 2021;Novara;1;6;21;5;7
20-26 dicembre 2021;Vercelli;0;0;1;1;2
20-26 dicembre 2021;Alessandria;0;2;5;3;9
20-26 dicembre 2021;Asti;0;1;10;1;6
;;;;;;
10-16 gennaio 2022;Biella;0;0;7;3;0
10-16 gennaio 2022;Torino città;0;3;29;0;3
10-16 gennaio 2022;Torino Area metropolitana;6;19;29;22;29
10-16 gennaio 2022;Cuneo;2;4;16;2;4
10-16 gennaio 2022;Vco;1;0;3;2;0
10-16 gennaio 2022;Novara;2;1;21;0;0
10-16 gennaio 2022;Vercelli;0;1;1;0;2
10-16 gennaio 2022;Alessandria;0;0;7;1;2
10-16 gennaio 2022;Asti;0;1;3;0;1
;;;;;;
17-23 gennaio 2022;Biella;2;3;16;4;16
17-23 gennaio 2022;Torino città;7;37;140;26;67
17-23 gennaio 2022;Torino Area metropolitana;5;71;190;174;156
17-23 gennaio 2022;Cuneo;4;8;74;28;66
17-23 gennaio 2022;Vco;-;7;35;12;10
17-23 gennaio 2022;Novara;7;31;61;10;13
17-23 gennaio 2022;Vercelli;-;3;16;13;11
17-23 gennaio 2022;Alessandria;10;20;65;10;20
17-23 gennaio 2022;Asti;4;5;17;10;2
;;;;;;
24-30 gennaio 2022;Biella;4;12;98;33;44
24-30 gennaio 2022;Torino città;11;51;141;99;171
24-30 gennaio 2022;Torino Area metropolitana;2;56;201;177;159
24-30 gennaio 2022;Cuneo;1;5;77;30;21
24-30 gennaio 2022;Vco;-;2;18;5;3
24-30 gennaio 2022;Novara;4;6;30;15;8
24-30 gennaio 2022;Vercelli;4;12;66;34;70
24-30 gennaio 2022;Alessandria;1;18;85;14;43
24-30 gennaio 2022;Asti;6;12;24;21;3
