Settimana;Comune;Casi
13/12/2021 - 19/12/2021;NOICATTARO;1
13/12/2021 - 19/12/2021;PALO DEL C.;11
13/12/2021 - 19/12/2021;POGGIORSINI;0
13/12/2021 - 19/12/2021;POLIGNANO;1
13/12/2021 - 19/12/2021;PUTIGNANO;0
13/12/2021 - 19/12/2021;RUTIGLIANO;2
13/12/2021 - 19/12/2021;RUVO DI P.;1
13/12/2021 - 19/12/2021;SAMMICHELE DI B.;0
13/12/2021 - 19/12/2021;SANNICANDRO DI B.;0
13/12/2021 - 19/12/2021;SANTERAMO IN C.;8
13/12/2021 - 19/12/2021;TERLIZZI;13
13/12/2021 - 19/12/2021;TORITTO;0
13/12/2021 - 19/12/2021;TRIGGIANO;1
13/12/2021 - 19/12/2021;TURI;0
13/12/2021 - 19/12/2021;VALENZANO;0
;;
20/12/2021 - 26/12/2021;ACQUAVIVA;5
20/12/2021 - 26/12/2021;ADELFIA;4
20/12/2021 - 26/12/2021;ALBEROBELLO;0
20/12/2021 - 26/12/2021;ALTAMURA;2
20/12/2021 - 26/12/2021;BARI;48
20/12/2021 - 26/12/2021;BINETTO;0
20/12/2021 - 26/12/2021;BITETTO;0
20/12/2021 - 26/12/2021;BITONTO;11
20/12/2021 - 26/12/2021;BITRITTO;0
20/12/2021 - 26/12/2021;CAPURSO;0
20/12/2021 - 26/12/2021;CASAMASSIMA;0
20/12/2021 - 26/12/2021;CASSANO M.;1
20/12/2021 - 26/12/2021;CASTELLANA G.;0
20/12/2021 - 26/12/2021;CELLAMARE;0
20/12/2021 - 26/12/2021;CONVERSANO;3
20/12/2021 - 26/12/2021;CORATO;5
20/12/2021 - 26/12/2021;GIOIA DEL COLLE;0
20/12/2021 - 26/12/2021;GIOVINAZZO;4
20/12/2021 - 26/12/2021;GRAVINA IN P.;12
20/12/2021 - 26/12/2021;GRUMO APPULA;0
20/12/2021 - 26/12/2021;LOCOROTONDO;1
20/12/2021 - 26/12/2021;MODUGNO;3
20/12/2021 - 26/12/2021;MOLA DI BARI;0
20/12/2021 - 26/12/2021;MOLFETTA;5
20/12/2021 - 26/12/2021;MONOPOLI;9
20/12/2021 - 26/12/2021;NOCI;1
20/12/2021 - 26/12/2021;NOICATTARO;6
20/12/2021 - 26/12/2021;PALO DEL C.;6
20/12/2021 - 26/12/2021;POGGIORSINI;0
20/12/2021 - 26/12/2021;POLIGNANO;1
20/12/2021 - 26/12/2021;PUTIGNANO;7
20/12/2021 - 26/12/2021;RUTIGLIANO;2
20/12/2021 - 26/12/2021;RUVO DI P.;4
20/12/2021 - 26/12/2021;SAMMICHELE DI B.;0
20/12/2021 - 26/12/2021;SANNICANDRO DI B.;0
20/12/2021 - 26/12/2021;SANTERAMO IN C.;1
20/12/2021 - 26/12/2021;TERLIZZI;7
20/12/2021 - 26/12/2021;TORITTO;0
20/12/2021 - 26/12/2021;TRIGGIANO;8
20/12/2021 - 26/12/2021;TURI;6
20/12/2021 - 26/12/2021;VALENZANO;0
;;
27/12/2021 - 02/01/2022;ACQUAVIVA;7
27/12/2021 - 02/01/2022;ADELFIA;0
27/12/2021 - 02/01/2022;ALBEROBELLO;0
27/12/2021 - 02/01/2022;ALTAMURA;0
27/12/2021 - 02/01/2022;BARI;0
27/12/2021 - 02/01/2022;BINETTO;72
27/12/2021 - 02/01/2022;BITETTO;0
27/12/2021 - 02/01/2022;BITONTO;0
27/12/2021 - 02/01/2022;BITRITTO;5
27/12/2021 - 02/01/2022;CAPURSO;0
27/12/2021 - 02/01/2022;CASAMASSIMA;1
27/12/2021 - 02/01/2022;CASSANO M.;0
27/12/2021 - 02/01/2022;CASTELLANA G.;0
27/12/2021 - 02/01/2022;CELLAMARE;0
27/12/2021 - 02/01/2022;CONVERSANO;0
27/12/2021 - 02/01/2022;CORATO;0
27/12/2021 - 02/01/2022;GIOIA DEL COLLE;0
27/12/2021 - 02/01/2022;GIOVINAZZO;0
27/12/2021 - 02/01/2022;GRAVINA IN P.;0
27/12/2021 - 02/01/2022;GRUMO APPULA;0
27/12/2021 - 02/01/2022;LOCOROTONDO;0
27/12/2021 - 02/01/2022;MODUGNO;0
27/12/2021 - 02/01/2022;MOLA DI BARI;0
27/12/2021 - 02/01/2022;MOLFETTA;0
27/12/2021 - 02/01/2022;MONOPOLI;0
27/12/2021 - 02/01/2022;NOCI;0
27/12/2021 - 02/01/2022;NOICATTARO;0
27/12/2021 - 02/01/2022;PALO DEL C.;0
27/12/2021 - 02/01/2022;POGGIORSINI;0
27/12/2021 - 02/01/2022;POLIGNANO;0
27/12/2021 - 02/01/2022;PUTIGNANO;4
27/12/2021 - 02/01/2022;RUTIGLIANO;0
27/12/2021 - 02/01/2022;RUVO DI P.;0
27/12/2021 - 02/01/2022;SAMMICHELE DI B.;0
27/12/2021 - 02/01/2022;SANNICANDRO DI B.;0
27/12/2021 - 02/01/2022;SANTERAMO IN C.;0
27/12/2021 - 02/01/2022;TERLIZZI;0
27/12/2021 - 02/01/2022;TORITTO;0
27/12/2021 - 02/01/2022;TRIGGIANO;7
27/12/2021 - 02/01/2022;TURI;10
27/12/2021 - 02/01/2022;VALENZANO;1
;;
03/01/2022 - 09/01/2022;ACQUAVIVA;3
03/01/2022 - 09/01/2022;ADELFIA;0
03/01/2022 - 09/01/2022;ALBEROBELLO;0
03/01/2022 - 09/01/2022;ALTAMURA;2
03/01/2022 - 09/01/2022;BARI;106
03/01/2022 - 09/01/2022;BINETTO;0
03/01/2022 - 09/01/2022;BITETTO;0
03/01/2022 - 09/01/2022;BITONTO;0
03/01/2022 - 09/01/2022;BITRITTO;0
03/01/2022 - 09/01/2022;CAPURSO;0
03/01/2022 - 09/01/2022;CASAMASSIMA;0
03/01/2022 - 09/01/2022;CASSANO M.;1
03/01/2022 - 09/01/2022;CASTELLANA G.;0
03/01/2022 - 09/01/2022;CELLAMARE;0
03/01/2022 - 09/01/2022;CONVERSANO;0
03/01/2022 - 09/01/2022;CORATO;0
03/01/2022 - 09/01/2022;GIOIA DEL COLLE;0
03/01/2022 - 09/01/2022;GIOVINAZZO;0
03/01/2022 - 09/01/2022;GRAVINA IN P.;0
03/01/2022 - 09/01/2022;GRUMO APPULA;1
03/01/2022 - 09/01/2022;LOCOROTONDO;0
03/01/2022 - 09/01/2022;MODUGNO;1
03/01/2022 - 09/01/2022;MOLA DI BARI;0
03/01/2022 - 09/01/2022;MOLFETTA;0
03/01/2022 - 09/01/2022;MONOPOLI;0
03/01/2022 - 09/01/2022;NOCI;0
03/01/2022 - 09/01/2022;NOICATTARO;0
03/01/2022 - 09/01/2022;PALO DEL C.;0
03/01/2022 - 09/01/2022;POGGIORSINI;0
03/01/2022 - 09/01/2022;POLIGNANO;0
03/01/2022 - 09/01/2022;PUTIGNANO;0
03/01/2022 - 09/01/2022;RUTIGLIANO;0
03/01/2022 - 09/01/2022;RUVO DI P.;0
03/01/2022 - 09/01/2022;SAMMICHELE DI B.;0
03/01/2022 - 09/01/2022;SANNICANDRO DI B.;0
03/01/2022 - 09/01/2022;SANTERAMO IN C.;0
03/01/2022 - 09/01/2022;TERLIZZI;1
03/01/2022 - 09/01/2022;TORITTO;0
03/01/2022 - 09/01/2022;TRIGGIANO;1
03/01/2022 - 09/01/2022;TURI;0
03/01/2022 - 09/01/2022;VALENZANO;0
;;
10/01/2022 - 16/01/2022;ACQUAVIVA;19
10/01/2022 - 16/01/2022;ADELFIA;6
10/01/2022 - 16/01/2022;ALBEROBELLO;17
10/01/2022 - 16/01/2022;ALTAMURA;65
10/01/2022 - 16/01/2022;BARI;212
10/01/2022 - 16/01/2022;BINETTO;2
10/01/2022 - 16/01/2022;BITETTO;6
10/01/2022 - 16/01/2022;BITONTO;44
10/01/2022 - 16/01/2022;BITRITTO;5
10/01/2022 - 16/01/2022;CAPURSO;1
