Data;ATS;Scuola infanzia / nido (classi);Scuola infanzia / nido (alunni);Scuola primaria (classi);Scuola primaria (alunni);Scuola secondaria primo grado (classi);Scuola secondaria primo grado (alunni);Scuola secondaria - secondo grado (classi);Scuola secondaria - secondo grado (alunni);Totale classi;Totale alunni;;;;;;;;;;
28/02/2022-06/03/2022;322 - INSUBRIA;3;55;2;56;20;364;17;275;42;750;;;;;;;;;;
28/02/2022-06/03/2022;323 - MONTAGNA;0;0;1;18;3;58;2;53;6;129;;;;;;;;;;
28/02/2022-06/03/2022;324 - BRIANZA;1;11;3;46;7;118;8;146;19;321;;;;;;;;;;
28/02/2022-06/03/2022;325 - BERGAMO;0;0;1;18;4;75;7;138;12;231;;;;;;;;;;
28/02/2022-06/03/2022;326 - BRESCIA;0;0;2;44;6;119;6;138;14;301;;;;;;;;;;
28/02/2022-06/03/2022;327 - VALPADANA;3;37;6;112;3;58;0;0;12;207;;;;;;;;;;
28/02/2022-06/03/2022;328 - PAVIA;2;3;4;1;4;26;6;51;16;81;;;;;;;;;;
28/02/2022-06/03/2022;Totale (ATS);24;169;42;371;87;1254;73;1165;226;2959;;;;;;;;;;
07/03/2022-13/03/2022;321 - MILANO;13;42;26;91;52;721;64;1063;155;1917;;;;;;;;;;
07/03/2022-13/03/2022;322 - INSUBRIA;3;55;2;56;20;364;17;275;42;750;;;;;;;;;;
07/03/2022-13/03/2022;323 - MONTAGNA;2;11;2;47;5;100;3;60;12;240;;;;;;;;;;
07/03/2022-13/03/2022;324 - BRIANZA;2;25;2;38;8;153;18;288;30;504;;;;;;;;;;
07/03/2022-13/03/2022;325 - BERGAMO;1;17;3;42;9;158;7;148;20;365;;;;;;;;;;
07/03/2022-13/03/2022;326 - BRESCIA;2;24;2;33;11;232;9;177;24;466;;;;;;;;;;
07/03/2022-13/03/2022;327 - VALPADANA;3;21;1;18;14;260;10;153;28;452;;;;;;;;;;
07/03/2022-13/03/2022;328 - PAVIA;4;27;2;16;4;18;9;114;19;175;;;;;;;;;;
07/03/2022-13/03/2022;Totale (ATS);30;222;40;341;123;2006;137;2278;330;4869;;;;;;;;;;
14/03/2022-20/03/2022;321 - MILANO;17;97;32;188;70;1008;84;1322;203;2615;;;;;;;;;;
14/03/2022-20/03/2022;322 - INSUBRIA;2;61;7;238;44;904;34;756;87;1959;;;;;;;;;;
14/03/2022-20/03/2022;323 - MONTAGNA;1;24;0;0;3;64;3;63;7;151;;;;;;;;;;
14/03/2022-20/03/2022;324 - BRIANZA;7;83;9;88;10;172;31;616;57;959;;;;;;;;;;
14/03/2022-20/03/2022;325 - BERGAMO;3;88;4;51;10;193;11;208;28;540;;;;;;;;;;
14/03/2022-20/03/2022;326 - BRESCIA;2;37;5;83;15;304;34;661;56;1085;;;;;;;;;;
14/03/2022-20/03/2022;327 - VALPADANA;2;20;4;39;16;317;10;178;32;554;;;;;;;;;;
14/03/2022-20/03/2022;328 - PAVIA;2;119;2;15;7;19;9;218;20;371;;;;;;;;;;
14/03/2022-20/03/2022;Totale (ATS);36;529;63;702;175;2981;216;4022;490;8234;;;;;;;;;;
21/03/2022-27/03/2022;321 - MILANO;25;87;50;224;60;982;69;1155;204;2448;;;;;;;;;;
21/03/2022-27/03/2022;322 - INSUBRIA;8;157;16;358;31;575;24;471;79;1561;;;;;;;;;;
21/03/2022-27/03/2022;323 - MONTAGNA;2;47;1;15;4;87;1;17;8;166;;;;;;;;;;
21/03/2022-27/03/2022;324 - BRIANZA;6;62;7;107;33;575;22;446;68;1170;;;;;;;;;;
21/03/2022-27/03/2022;325 - BERGAMO;5;56;1;16;13;261;7;140;26;473;;;;;;;;;;
21/03/2022-27/03/2022;326 - BRESCIA;5;63;8;157;22;433;18;366;53;1019;;;;;;;;;;
21/03/2022-27/03/2022;327 - VALPADANA;2;17;4;65;16;294;13;238;35;614;;;;;;;;;;
21/03/2022-27/03/2022;328 - PAVIA;4;44;7;41;6;121;10;166;27;372;;;;;;;;;;
