Giorno;Positivi;Positivi_non_consolidati;Sintomatici;Sintomatici_non_consolidati
13/10/20;1,77631997;;1,730087744;
14/10/20;1,793238298;;1,740393922;
15/10/20;1,808460651;;1,748024276;
16/10/20;1,81998271;;1,751136286;
17/10/20;1,823044357;;1,747245034;
18/10/20;1,814037998;;1,733783124;
19/10/20;1,808121403;;1,723122611;
20/10/20;1,800949023;;1,711644092;
21/10/20;1,790613531;;1,697942811;
22/10/20;1,776684413;;1,682094569;
23/10/20;1,761184148;;1,664523732;
24/10/20;1,74081127;;1,644969849;
25/10/20;1,710099252;;1,618661426;
26/10/20;1,685353862;;1,596945218;
27/10/20;1,658999853;;1,574272195;
28/10/20;1,630910027;;1,550290302;
29/10/20;1,599681951;;1,52218459;
30/10/20;1,566581012;;1,492953715;
31/10/20;1,52623929;;1,458028502;
01/11/20;1,482350616;;1,421965055;
02/11/20;1,441745794;;1,389195817;
03/11/20;1,402572244;;1,358435983;
04/11/20;1,365517143;;1,328454723;
05/11/20;1,328387044;;1,298761739;
06/11/20;1,292798582;;1,270598844;
07/11/20;1,256077162;;1,241182856;
08/11/20;1,219183993;;1,211742524;
09/11/20;1,185595683;;1,185336455;
10/11/20;1,154982225;;1,161650315;
11/11/20;1,125818119;;1,139143868;
12/11/20;1,098491506;;1,117209506;
13/11/20;1,073421696;;1,096547146;
14/11/20;1,050371109;;1,075994493;
15/11/20;1,028929496;;1,056071468;
16/11/20;1,009298479;;1,0372013;
17/11/20;0,988575445;;1,01667756;
18/11/20;0,969158232;;0,996751888;
19/11/20;0,950564047;;0,976081982;
20/11/20;0,932945071;;0,956440513;
21/11/20;0,916171969;;0,936570111;
22/11/20;0,899674024;;0,916210386;
23/11/20;0,881864683;;0,895412175;
24/11/20;0,864436646;;0,875062351;
25/11/20;0,847558059;;0,855894431;
26/11/20;0,830888407;;0,838466703;
27/11/20;0,814878522;;0,82291185;
28/11/20;0,802612257;;0,811815918;
29/11/20;0,790871617;;0,801110346;
30/11/20;0,779941078;;0,792328428;
01/12/20;0,774656389;;0,789592432;
02/12/20;0,770881341;;0,790182435;
03/12/20;0,769818322;;0,794350317;
04/12/20;0,771407581;;0,801005276;
05/12/20;0,776400381;;0,811232861;
06/12/20;0,784388238;;0,824189882;
07/12/20;0,793639682;;0,837494741;
08/12/20;0,802189312;;0,849851934;
09/12/20;0,813506219;;0,864009297;
10/12/20;0,827215953;;0,879789598;
11/12/20;0,840564174;;0,894003147;
12/12/20;0,853147792;;0,907443212;
13/12/20;0,865405598;;0,918983067;
14/12/20;0,875640244;;0,92781693;
15/12/20;0,885833227;;0,935447185;
16/12/20;0,894422211;;0,940856426;
17/12/20;0,902481596;;0,946139315;
18/12/20;0,908867484;;0,949042031;
19/12/20;0,915732951;;0,952618129;
20/12/20;0,926013033;;0,959174168;
21/12/20;0,936082496;;0,965119893;
22/12/20;0,946801758;;0,972087272;
23/12/20;0,957957583;;0,979348599;
24/12/20;0,970044056;;0,988289374;
25/12/20;0,980951152;;0,996204738;
26/12/20;0,992165092;;1,005155224;
27/12/20;1,00773941;;1,018846539;
28/12/20;1,025513472;;1,035010079;
29/12/20;1,040614315;;1,048361509;
30/12/20;1,054224261;;1,060242308;
31/12/20;1,066033241;;1,070100274;
01/01/21;1,074519158;;1,077573269;
