Giorno;Positivi;Sintomatici;Positivi_non_consolidati;Sintomatici_non_consolidati
16/05/21;0,738008921;;0,740832637;
17/05/21;0,729822721;;0,732615317;
18/05/21;0,722015891;;0,72469707;
19/05/21;0,714056921;;0,716627249;
20/05/21;0,706779472;;0,709381868;
21/05/21;0,699636048;;0,70223176;
22/05/21;0,693751516;;0,696122532;
23/05/21;0,689894887;;0,691848206;
24/05/21;0,684364679;;0,685951619;
25/05/21;0,679124489;;0,680492491;
26/05/21;0,674727921;;0,676031437;
27/05/21;0,672654367;;0,673961626;
28/05/21;0,67378591;;0,675209776;
29/05/21;0,675790997;;0,67721257;
30/05/21;0,681201275;;0,682381059;
31/05/21;0,684597497;;0,685739328;
01/06/21;0,688149923;;0,689500672;
02/06/21;0,69072909;;0,692461024;
03/06/21;0,694405013;;0,69665083;
04/06/21;0,699552535;;0,702367796;
05/06/21;0,706827729;;0,709938542;
06/06/21;0,714329893;;0,717614498;
07/06/21;0,717484517;;0,720940575;
08/06/21;0,718538666;;0,722154205;
09/06/21;0,717887573;;0,721454377;
10/06/21;0,716684867;;0,719959764;
11/06/21;0,714284527;;0,717081281;
12/06/21;0,711935668;;0,713956175;
13/06/21;0,710744884;;0,711749325;
14/06/21;0,708234721;;0,708208224;
15/06/21;0,702032118;;0,701081177;
16/06/21;0,694457308;;0,692765313;
17/06/21;0,685075301;;0,683052319;
18/06/21;0,674689462;;0,672509561;
19/06/21;0,665229529;;0,663022188;
20/06/21;0,658465126;;0,656419049;
21/06/21;0,64967204;;0,648097027;
22/06/21;0,64316769;;0,642233868;
23/06/21;0,637642487;;0,637564537;
24/06/21;0,633294927;;0,634274191;
25/06/21;0,632180849;;0,634591411;
26/06/21;0,636457636;;0,63992412;
27/06/21;0,64697665;;0,651388506;
28/06/21;0,662412292;;0,667668573;
29/06/21;0,684752908;;0,690529006;
30/06/21;0,715172348;;0,721177405;
01/07/21;0,754735111;;0,760921303;
02/07/21;0,799877968;;0,805752017;
03/07/21;0,851000708;;0,85624397;
04/07/21;0,909720306;;0,914008624;
05/07/21;0,973051678;;0,976374703;
06/07/21;1,040859834;;1,043199069;
07/07/21;1,110424329;;1,111604984;
08/07/21;1,177014528;;1,177284132;
09/07/21;1,245238401;;1,245309951;
10/07/21;1,312315997;;1,312803694;
11/07/21;1,37402826;;1,375345259;
12/07/21;1,431002918;;1,433422329;
13/07/21;1,486723187;;1,490906921;
14/07/21;1,542385623;;1,548317795;
15/07/21;1,597243224;;1,604454366;
16/07/21;1,64472382;;1,652515402;
17/07/21;1,68350174;;1,690926777;
18/07/21;1,713224779;;1,719418464;
19/07/21;1,737483314;;1,741383121;
20/07/21;1,753285205;;1,754694213;
21/07/21;1,759369386;;1,757797821;
22/07/21;1,752160258;;1,747165224;
23/07/21;1,734148888;;1,725127505;
24/07/21;1,70540041;;1,692858235;
25/07/21;1,666024058;;1,650677831;
26/07/21;1,625225946;;1,607396917;
27/07/21;1,582815644;;1,563412571;
28/07/21;1,541239171;;1,520517342;
29/07/21;1,497246127;;1,475615837;
30/07/21;1,450598466;;1,428600317;
31/07/21;1,400430696;;1,378536811;
01/08/21;1,351204125;;1,329896616;
02/08/21;1,306773168;;1,285933765;
03/08/21;1,267879329;;1,247384965;
04/08/21;1,233766954;;1,213843165;
05/08/21;1,202788439;;1,183616548;
06/08/21;1,173660195;;1,155364323;
07/08/21;1,14560457;;1,128269025;
08/08/21;;1,119123029;;1,103080899
09/08/21;;1,097165367;;1,082330054
10/08/21;;1,079051621;;1,065352525
11/08/21;;1,060947984;;1,048444094
12/08/21;;1,04247619;;1,030968689
13/08/21;;1,02454804;;1,013192798
14/08/21;;1,006310901;;0,994656164
15/08/21;;0,986019109;;0,973952876
16/08/21;;0,965162992;;0,951969236
17/08/21;;0,942522732;;0,92730437
18/08/21;;0,917295546;;0,89926431
19/08/21;;0,888533411;;0,867423994
20/08/21;;0,854400043;;0,830405855
21/08/21;;0,814840498;;0,788602157
22/08/21;;0,769859229;;0,741742941
