Settimana n.;Settimana;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2020-45;8-14 novembre 2021;Liguria;14;48;17.848;2,69;<3,16;5;7,52;13;8,25;28;2,7;2;0,38
2020-45;8-14 novembre 2021;Emilia Romagna;47;287;56.241;5,1;<3,16;81;27,5;38;5,32;145;4,43;23;1,72
2020-45;8-14 novembre 2021;Toscana;34;164;55.231;2,97;<3,16;44;16,34;26;3,63;77;2,66;17;1,03
2020-45;8-14 novembre 2021;Umbria;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-45;8-14 novembre 2021;Marche;14;58;16.231;3,57;<3,16;12;8,69;18;5,51;16;1,94;12;3,58
2020-45;8-14 novembre 2021;Lazio;185;862;243.487;3,54;<3,16;149;15,74;102;4,12;491;3,24;120;2,08
2020-45;8-14 novembre 2021;Abruzzo;35;175;41.735;4,19;<3,16;45;15,37;42;6,43;68;2,86;20;2,36
2020-45;8-14 novembre 2021;Molise;11;16;9.295;1,72;<3,16;-;-;1;1,83;8;1,32;7;2,89
2020-45;8-14 novembre 2021;Campania;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-45;8-14 novembre 2021;Puglia;104;425;133.169;3,19;<3,16;60;8,76;51;3,37;254;3,19;60;1,9
2020-45;8-14 novembre 2021;Basilicata;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-45;8-14 novembre 2021;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-45;8-14 novembre 2021;Sicilia;91;369;111.025;3,32;<3,16;71;18,15;60;5,87;161;2,33;77;2,77
2020-45;8-14 novembre 2021;Sardegna;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-46;15-21 novembre 2021;Piemonte;46;375;64.330;5,83; <9,37;111;29,6;65;8,24;163;4,43;36;2,26
2020-46;15-21 novembre 2021;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-46;15-21 novembre 2021;Lombardia;204;1.866;272.074;6,86;<3,16;456;25,8;249;6,2;999;6,54;162;2,63
2020-46;15-21 novembre 2021;P.A. di Bolzano;6;14;8.842;1,58;;4;5,93;3;1,83;7;1,45;-;-
2020-46;15-21 novembre 2021;P. A. di Trento;6;27;8.945;3,02;<3,16;17;46,45;3;3,12;7;1,31;-;-
2020-46;15-21 novembre 2021;Veneto;37;162;52.938;3,06;<3,16;53;13,16;37;3,89;58;2,07;14;1,23
2020-46;15-21 novembre 2021;Friuli V.G.;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-46;15-21 novembre 2021;Liguria;15;99;18.597;5,32;<3,16;22;26,38;22;10,17;45;4,37;10;1,88
2020-46;15-21 novembre 2021;Emilia Romagna;43;328;52.495;6,25;<3,16;97;37,25;35;5,12;164;5,36;32;2,57
2020-46;15-21 novembre 2021;Toscana;35;172;58.821;2,92;<3,16;41;17,16;24;3,83;89;2,77;18;1
