Giorno;Operatori_sanitari;Operatori_sanitari_non_consolidati;Altri;Altri_non_consolidati
07/06/21;1;;101;
08/06/21;0;;93;
09/06/21;1;;76;
10/06/21;0;;92;
11/06/21;1;;66;
12/06/21;0;;71;
13/06/21;1;;71;
14/06/21;1;;61;
15/06/21;0;;80;
16/06/21;1;;62;
17/06/21;0;;59;
18/06/21;2;;63;
19/06/21;0;;36;
20/06/21;1;;42;
21/06/21;0;;50;
22/06/21;0;;60;
23/06/21;0;;38;
24/06/21;1;;55;
25/06/21;1;;36;
26/06/21;0;;42;
27/06/21;0;;33;
28/06/21;0;;46;
29/06/21;1;;45;
30/06/21;0;;28;
01/07/21;0;;47;
02/07/21;0;;37;
03/07/21;0;;37;
04/07/21;0;;39;
05/07/21;0;;39;
06/07/21;0;;39;
07/07/21;1;;46;
08/07/21;0;;53;
09/07/21;0;;45;
10/07/21;1;;38;
11/07/21;1;;47;
12/07/21;0;;51;
13/07/21;0;;68;
14/07/21;0;;54;
15/07/21;0;;68;
16/07/21;1;;70;
17/07/21;2;;83;
18/07/21;2;;76;
19/07/21;2;;96;
20/07/21;0;;105;
21/07/21;4;;104;
22/07/21;1;;116;
23/07/21;4;;101;
24/07/21;0;;105;
25/07/21;2;;134;
26/07/21;2;;120;
27/07/21;1;;137;
28/07/21;2;;156;
29/07/21;3;;131;
30/07/21;2;;166;
31/07/21;1;;159;
01/08/21;2;;125;
02/08/21;2;;160;
03/08/21;3;;180;
04/08/21;2;;167;
05/08/21;3;;151;
06/08/21;0;;176;
07/08/21;4;;162;
08/08/21;2;;143;
09/08/21;2;;190;
10/08/21;1;;172;
11/08/21;1;;181;
12/08/21;3;;184;
13/08/21;1;;189;
14/08/21;5;;165;
15/08/21;1;;172;
16/08/21;2;;219;
17/08/21;4;;163;
18/08/21;3;;211;
19/08/21;2;;171;
20/08/21;1;;190;
21/08/21;5;;191;
22/08/21;4;;150;
23/08/21;2;;213;
24/08/21;2;;185;
25/08/21;3;;181;
26/08/21;1;;201;
27/08/21;2;;182;
28/08/21;0;;192;
29/08/21;2;;172;
30/08/21;2;;164;
31/08/21;2;;175;
01/09/21;5;;175;
02/09/21;2;;195;
03/09/21;2;;198;
04/09/21;1;;162;
05/09/21;;3;;153
06/09/21;;2;;196
07/09/21;;3;;189
08/09/21;;4;;166
09/09/21;;3;;159
10/09/21;;0;;161
11/09/21;;1;;154
12/09/21;;5;;142
13/09/21;;3;;179
14/09/21;;4;;142
15/09/21;;2;;105
16/09/21;;0;;87
17/09/21;;1;;54
18/09/21;;;;25
19/09/21;;;;1
