Giorno;Operatori_sanitari;Operatori_sanitari_non_consolidati;Altri;Altri_non_consolidati
14/04/21;62;;4269;
15/04/21;66;;4109;
16/04/21;45;;4194;
17/04/21;44;;4025;
18/04/21;40;;3953;
19/04/21;41;;4830;
20/04/21;56;;4539;
21/04/21;55;;4458;
22/04/21;51;;4175;
23/04/21;49;;4265;
24/04/21;46;;4093;
25/04/21;45;;3672;
26/04/21;45;;4382;
27/04/21;48;;3772;
28/04/21;44;;3469;
29/04/21;45;;3148;
30/04/21;37;;3023;
01/05/21;35;;3257;
02/05/21;31;;2679;
03/05/21;38;;3355;
04/05/21;34;;2855;
05/05/21;42;;2934;
06/05/21;25;;2482;
07/05/21;27;;2411;
08/05/21;31;;2149;
09/05/21;33;;1973;
10/05/21;21;;2446;
11/05/21;21;;1980;
12/05/21;31;;1925;
13/05/21;17;;1722;
14/05/21;17;;1565;
15/05/21;9;;1561;
16/05/21;12;;1353;
17/05/21;17;;1576;
18/05/21;20;;1418;
19/05/21;17;;1265;
20/05/21;13;;1157;
21/05/21;12;;1049;
22/05/21;12;;988;
23/05/21;12;;937;
24/05/21;11;;1118;
25/05/21;11;;957;
26/05/21;8;;914;
27/05/21;11;;865;
28/05/21;6;;850;
29/05/21;10;;706;
30/05/21;7;;645;
31/05/21;10;;699;
01/06/21;5;;770;
02/06/21;5;;675;
03/06/21;8;;623;
04/06/21;8;;605;
05/06/21;11;;570;
06/06/21;9;;479;
07/06/21;8;;548;
08/06/21;10;;453;
09/06/21;4;;497;
10/06/21;5;;435;
11/06/21;2;;354;
12/06/21;4;;352;
13/06/21;7;;320;
14/06/21;4;;391;
15/06/21;6;;304;
16/06/21;4;;345;
17/06/21;3;;273;
18/06/21;1;;242;
19/06/21;7;;221;
20/06/21;3;;226;
21/06/21;4;;247;
22/06/21;6;;262;
23/06/21;2;;260;
24/06/21;7;;232;
25/06/21;7;;210;
26/06/21;2;;199;
27/06/21;2;;245;
28/06/21;6;;273;
29/06/21;3;;322;
30/06/21;10;;357;
01/07/21;2;;380;
02/07/21;1;;338;
03/07/21;8;;384;
04/07/21;5;;430;
05/07/21;4;;527;
06/07/21;8;;551;
07/07/21;8;;603;
08/07/21;10;;612;
09/07/21;14;;764;
10/07/21;10;;818;
11/07/21;20;;813;
12/07/21;21;;1166;
13/07/21;17;;1258;
14/07/21;29;;1548;
15/07/21;21;;1532;
16/07/21;25;;1433;
17/07/21;20;;1425;
18/07/21;28;;1588;
19/07/21;41;;1856;
20/07/21;44;;2093;
21/07/21;47;;1987;
22/07/21;31;;1781;
23/07/21;47;;1795;
24/07/21;39;;1797;
25/07/21;43;;1877;
26/07/21;41;;2236;
27/07/21;46;;2181;
28/07/21;27;;2088;
29/07/21;37;;1798;
30/07/21;39;;1821;
31/07/21;45;;1762;
01/08/21;45;;1949;
02/08/21;52;;2132;
03/08/21;43;;2133;
04/08/21;52;;2068;
05/08/21;49;;1831;
06/08/21;35;;1736;
07/08/21;32;;1685;
08/08/21;38;;1671;
09/08/21;45;;2090;
10/08/21;38;;1997;
11/08/21;51;;1735;
12/08/21;42;;1708;
13/08/21;44;;1539;
14/08/21;42;;1463;
15/08/21;;42;;1565
16/08/21;;48;;1849
17/08/21;;46;;1677
18/08/21;;46;;1672
19/08/21;;39;;1376
20/08/21;;36;;1331
21/08/21;;31;;1173
22/08/21;;36;;1125
23/08/21;;31;;1084
24/08/21;;27;;718
25/08/21;;19;;511
26/08/21;;8;;212
27/08/21;;1;;68
28/08/21;;0;;13
29/08/21;;1;;
