Regione;Settimana;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;43;44;45;46;47;48;49;50;51;52;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Umbria;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Marche;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<9,37;<3,16;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Lazio;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<9,37;<3,16;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Abruzzo;<3,16;<9,37;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Molise;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Campania;<3,16;<3,16;<3,16;<9,37;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Puglia;<3,16;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Basilicata;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Calabria;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Sicilia;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Sardegna;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
ITALIA;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
