codiceProvinciale,codiceMiur,denominazioneUfficiale,primaria,secondaria1grado,secondaria2grado,formazione_professionale,indirizzo,email,latitudeY,longitudeX,comune,alunni
221174403,TNRC00350N,ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE,False,False,True,False,Via Perlasca 4,,46.21765617,11.09397786,MEZZOLOMBARDO,80
221179901,TNCT70400V,EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO,False,True,False,False,Via Perlasca 4,,46.21765617,11.09397786,MEZZOLOMBARDO,226
221177103,TNPS00301R,LICEO SCIENTIFICO,False,False,True,False,Via Perlasca 4,,46.21765617,11.09397786,MEZZOLOMBARDO,199
220143001,TNMM80601P,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. GARIBALDI"" BEZZECCA",False,True,False,False,Via Falcone e Borsellino - Bezzecca 2,,45.89516601,10.72084423,LEDRO,155
221972101,TNEE80603T,SCUOLA PRIMARIA TIARNO DI SOPRA,True,False,False,False,Piazza Milin - Tiarno di Sopra 14,,45.88916535,10.67018708,LEDRO,47
221192101,TNEE80602R,SCUOLA PRIMARIA MOLINA DI LEDRO,True,False,False,False,Via Sartori - Molina di Ledro 27,,45.87024547,10.77418416,LEDRO,59
220652101,TNEE80601Q,"SCUOLA PRIMARIA ""O. FERRARI"" ENGUISO",True,False,False,False,Via dei Concei - Enguiso - Concei 27,,45.90442179,10.72921443,LEDRO,93
221233001,TNMM84901L,"SCUOLA SECONDARIA DI PRIMO GRADO ""B. MALFATTI"" MORI",False,True,False,False,Via Giovanni XXIII 64,,45.85230766,10.98554092,MORI,311
221352101,TNEE84903Q,SCUOLA PRIMARIA RONZO CHIENIS,True,False,False,False,Via Del Car 38,,45.89075034,10.95070541,RONZO-CHIENIS,65
221232101,TNEE84901N,SCUOLA PRIMARIA MORI,True,False,False,False,Via Scuole 21,,45.85173804,10.974347850000001,MORI,405
