Settimana;Data;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-01;4-10 gennaio ;Campania;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-01;4-10 gennaio ;Puglia;64;124;85.584;1,45;14;4,13;17;2,48;72;1,32;21;1,02
2021-01;4-10 gennaio ;Basilicata;1;-;1.510;-;-;-;-;-;-;-;-;-
2021-01;4-10 gennaio ;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-01;4-10 gennaio ;Sicilia;115;243;136.921;1,77;17;3,5;28;2,16;135;1,59;63;1,86
2021-01;4-10 gennaio ;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-02;11-17 gennaio ;Piemonte;46;125;64.750;1,93;8;2,31;15;1,17;75;2,21;27;1,87
2021-02;11-17 gennaio ;Val D'Aosta;2;3;3.097;0,97;-;-;-;-;2;0,95;1;1,04
2021-02;11-17 gennaio ;Lombardia;140;301;181.556;1,66;45;2,92;33;1;181;1,89;42;1,13
2021-02;11-17 gennaio ;P.A. di Bolzano;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-02;11-17 gennaio ;P. A. di Trento;14;7;16.979;0,41;1;1,14;-;-;5;0,52;1;0,26
2021-02;11-17 gennaio ;Veneto;38;17;48.606;0,35;-;-;2;0,27;11;0,41;4;0,36
2021-02;11-17 gennaio ;Friuli V.G.;6;6;6.690;0,9;1;0,77;1;0,27;2;1,54;2;5,36
2021-02;11-17 gennaio ;Liguria;21;42;26.915;1,56;8;8,54;4;1,61;21;1,37;9;1,11
2021-02;11-17 gennaio ;Emilia Romagna;23;40;25.990;1,54;13;3,72;5;0,68;18;1,71;4;0,87
2021-02;11-17 gennaio ;Toscana;27;73;45.302;1,61;17;6,47;15;2,2;34;1,48;7;0,54
2021-02;11-17 gennaio ;Umbria;13;14;14.611;0,96;5;8,47;6;3,58;1;0,11;2;0,59
2021-02;11-17 gennaio ;Marche;17;11;21.069;0,52;1;0,5;-;-;9;0,89;1;0,25
2021-02;11-17 gennaio ;Lazio;161;252;198.388;1,27;26;2,81;34;1,52;161;1,33;31;0,68
