data,pubblicazione,url,fascia,vaccino,popolazione,diagnosi,ricoveri,intensive,decessi,popolazione_giorno,diagnosi_start,diagnosi_end,ricoveri_start,ricoveri_end,intensive_start,intensive_end,decessi_start,decessi_end,totale,percentuale_popolazione,percentuale_diagnosi,percentuale_ricoveri,percentuale_intensive,percentuale_decessi
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,80+,vaccinati incompleto,281202,58,27,0,21,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,4554107,0.061746902301592826,0.00020625742348916436,9.601638679667997e-05,0.0,7.46794119529733e-05
2021-07-14,2021-07-16,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_14-luglio-2021.pdf,80+,vaccinati completo,3812115,487,142,5,55,2021-06-26,2021-06-11,2021-07-11,2021-06-04,2021-07-04,2021-06-04,2021-07-04,2021-05-21,2021-06-20,4554107,0.8370719001551786,0.0001277506056349297,3.724966324468176e-05,1.3116078607282309e-06,1.4427686468010541e-05
2021-07-21,2021-07-23,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_21-luglio-2021.pdf,12-39,non vaccinati,13017353,19080,485,11,3,2021-07-03,2021-06-18,2021-07-18,2021-06-11,2021-07-11,2021-06-11,2021-07-11,2021-05-28,2021-06-27,17435555,0.7465981438503104,0.001465735775929254,3.725795866486835e-05,8.4502586662588e-07,2.304615999888764e-07
2021-07-21,2021-07-23,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_21-luglio-2021.pdf,12-39,vaccinati incompleto,2651558,3313,18,0,1,2021-07-03,2021-06-18,2021-07-18,2021-06-11,2021-07-11,2021-06-11,2021-07-11,2021-05-28,2021-06-27,17435555,0.15207763676005726,0.001249454094536118,6.78846172702992e-06,0.0,3.7713676261277334e-07
2021-07-21,2021-07-23,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_21-luglio-2021.pdf,12-39,vaccinati completo,1766644,1167,9,0,0,2021-07-03,2021-06-18,2021-07-18,2021-06-11,2021-07-11,2021-06-11,2021-07-11,2021-05-28,2021-06-27,17435555,0.10132421938963228,0.000660574513031488,5.094404984818673e-06,0.0,0.0
2021-07-21,2021-07-23,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_21-luglio-2021.pdf,40-59,non vaccinati,8163811,5457,556,52,38,2021-07-03,2021-06-18,2021-07-18,2021-06-11,2021-07-11,2021-06-11,2021-07-11,2021-05-28,2021-06-27,18447460,0.44254390577347774,0.0006684378166030546,6.81054473211102e-05,6.369574209888005e-06,4.654688845687388e-06
2021-07-21,2021-07-23,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_21-luglio-2021.pdf,40-59,vaccinati incompleto,6157091,2357,50,0,4,2021-07-03,2021-06-18,2021-07-18,2021-06-11,2021-07-11,2021-06-11,2021-07-11,2021-05-28,2021-06-27,18447460,0.33376361840600277,0.00038281064873005777,8.120718046882854e-06,0.0,6.496574437506283e-07
2021-07-21,2021-07-23,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_21-luglio-2021.pdf,40-59,vaccinati completo,4126558,1256,22,0,1,2021-07-03,2021-06-18,2021-07-18,2021-06-11,2021-07-11,2021-06-11,2021-07-11,2021-05-28,2021-06-27,18447460,0.22369247582051946,0.0003043698889001439,5.331319710034367e-06,0.0,2.4233271409247125e-07
2021-07-21,2021-07-23,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_21-luglio-2021.pdf,60-79,non vaccinati,3118561,1446,317,42,103,2021-07-03,2021-06-18,2021-07-18,2021-06-11,2021-07-11,2021-06-11,2021-07-11,2021-05-28,2021-06-27,13572779,0.2297658423525499,0.00046367539387557276,0.00010164944665183718,1.346775002958095e-05,3.302805364397233e-05
2021-07-21,2021-07-23,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_21-luglio-2021.pdf,60-79,vaccinati incompleto,4825699,1090,113,13,30,2021-07-03,2021-06-18,2021-07-18,2021-06-11,2021-07-11,2021-06-11,2021-07-11,2021-05-28,2021-06-27,13572779,0.3555424427083061,0.00022587401327766194,2.3416296789335598e-05,2.6939102501005554e-06,6.216715961770513e-06
