Stagione influenzale;Settimana n.;Settimana;Casi stimati in Italia;Incidenza 
2006 - 2007;2007-17;23-29 aprile 2007;;0,31
2007 - 2008;2007-42;15-21 ottobre 2007;;0,19
2007 - 2008;2007-43;22-28 ottobre 2007;;0,32
2007 - 2008;2007-44;29 ottobre-4 novembre 2007;;0,26
2007 - 2008;2007-45;5-11 novembre 2007;;0,41
2007 - 2008;2007-46;12-18 novembre 2007;;0,51
2007 - 2008;2007-47;19-25 novembre 2007;;0,61
2007 - 2008;2007-48;26 novembre-2 dicembre 2007;;0,79
2007 - 2008;2007-49;3-9 dicembre 2007;;0,89
2007 - 2008;2007-50;10-16 dicembre 2007;;1,2
2007 - 2008;2007-51;17-23 dicembre 207;;1,89
2007 - 2008;2007-52;24-30 dicembre 2007;;2,92
2007 - 2008;2008-01;31 dicembre 2007-6 gennaio 2008;;4,56
2007 - 2008;2008-02;7-13 gennaio 2008;;5,98
2007 - 2008;2008-03;14-20 gennaio 2008;;6,54
2007 - 2008;2008-04;21-27 gennaio 208;;6,95
2007 - 2008;2008-05;28 gennaio-3 febbraio 2008;;7,21
2007 - 2008;2008-06;4-10 febbraio 2008;;6,95
2007 - 2008;2008-07;11-17 febbraio 2008;;6,61
2007 - 2008;2008-08;18-24 febbraio 2008;;6,32
2007 - 2008;2008-09;25 febbraio-2 marzo 2008;;5,62
2007 - 2008;2008-10;3-9 marzo 2008;;4,13
2007 - 2008;2008-11;10-16 marzo 2008;;2,75
2007 - 2008;2008-12;17-23 marzo 2008;;1,92
2007 - 2008;2008-13;24-30 marzo 2008;;1,34
2007 - 2008;2008-14;31 marzo-6 aprile 2008;;0,97
2007 - 2008;2008-15;7-13 aprile 2008;;0,68
2007 - 2008;2008-16;14-0 aprile 2008;;0,48
2007 - 2008;2008-17;21-27 aprile 2008;;0,31
2008 - 2009;2008-42;13-19 ottobre 2008;;0,28
2008 - 2009;2008-43;20-26 ottobre 2008;;0,27
2008 - 2009;2008-44;27 ottobre-2 novembre 2008;;0,32
2008 - 2009;2008-45;3-9 novembre 2008;;0,43
2008 - 2009;2008-46;10-16 novembre 2008;;0,48
2008 - 2009;2008-47;17-23 novembre 2008;;0,62
2008 - 2009;2008-48;24-30 novembre 2008;;0,76
2008 - 2009;2008-49;1-7 dicembre 2008;;0,89
2008 - 2009;2008-50;8-14 dicembre 2008;;1,15
2008 - 2009;2008-51;15-21 dicembre 2008;;1,56
2008 - 2009;2008-52;22-28 dicembre 2008;;2
2008 - 2009;2009-01;29 dicembre 2008-4 gennaio 2009;;3,18
2008 - 2009;2009-02;5-11 gennaio 2009;;4,4
2008 - 2009;2009-03;12-18 gennaio 2009;;6,28
2008 - 2009;2009-04;19-25 gennaio 2009;;8,23
2008 - 2009;2009-05;26 gennaio-1 febbraio 2009;;7,64
2008 - 2009;2009-06;2-8 febbraio 2009;;6,64
2008 - 2009;2009-07;9-15 febbraio 2009;;5,13
2008 - 2009;2009-08;16-22 febbraio 2009;;4,17
2008 - 2009;2009-09;23 febbraio-1 marzo 2009;;3,74
2008 - 2009;2009-10;2-8 marzo 2009;;2,91
2008 - 2009;2009-11;9-15 marzo 2009;;2,15
2008 - 2009;2009-12;16-22 marzo 2009;;1,73
2008 - 2009;2009-13;23-29 marzo 2009;;1,44
2008 - 2009;2009-14;30 marzo-5 aprile 2009;;1,16
2008 - 2009;2009-15;6-12 aprile 2009;;0,76
2008 - 2009;2009-16;13-19 aprile 2009;;0,58
2008 - 2009;2009-17;20-26 aprile 2009;;0,49
2009 - 2010;2009-42;12-18 ottobre 2009;;1,76
2009 - 2010;2009-43;19-25 ottobre 2009;;4,49
2009 - 2010;2009-44;26 ottobre-1 novembre 2009;;9,31
2009 - 2010;2009-45;2-8 novembre 2009;;12,65
2009 - 2010;2009-46;9-15 novembre 2009;;12,92
2009 - 2010;2009-47;16-22 novembre 2009;;11,02
2009 - 2010;2009-48;23-29 novembre 2009;;6,72
2009 - 2010;2009-49;30 novembre-6 dicembre 2009;;3,76
2009 - 2010;2009-50;7-13 dicembre 2009;;2,25
2009 - 2010;2009-51;14-20 dicembre 2009;;1,84
2009 - 2010;2009-52;21-27 dicembre 2009;;1,32
2009 - 2010;2009-53;28 dicembre 2009-3 gennaio 2010;;1,29
2009 - 2010;2010-01;4-10 gennaio 2010;;1,36
2009 - 2010;2010-02;11-17 gennaio 2010;;1,47
2009 - 2010;2010-03;18-24 gennaio 2010;;1,67
2009 - 2010;2010-04;25-31 gennaio 2010;;1,91
2009 - 2010;2010-05;1-7 febbraio 2010;;2
2009 - 2010;2010-06;8-14 febbraio 2010;;2,12
2009 - 2010;2010-07;15-21 febbraio 2010;;2,07
2009 - 2010;2010-08;22-28 febbraio 2010;;1,98
2009 - 2010;2010-09;1-7 marzo 2010;;1,81
2009 - 2010;2010-10;8-14 marzo 2010;;1,65
2009 - 2010;2010-11;15-21 marzo 2010;;1,38
2009 - 2010;2010-12;22-28 marzo 2010;;1,28
2009 - 2010;2010-13;29 marzo-4 aprile 2010;;1,05
2009 - 2010;2010-14;5-11 aprile 2010;;0,93
2009 - 2010;2010-15;12-18 aprile 2010;;0,82
2010 - 2011;2010-42;18-24 ottobre 2010;;0,72
2010 - 2011;2010-43;25-31 ottobre 2010;;0,81
2010 - 2011;2010-44;1-7 novembre 2010;;0,82
2010 - 2011;2010-45;8-14 novembre 2010;;0,94
2010 - 2011;2010-46;15-21 novembre 2010;;1,07
2010 - 2011;2010-47;22-28 novembre 2010;;1,28
2010 - 2011;2010-48;29 novembre-5 dicembre 2010;;1,42
2010 - 2011;2010-49;6-12 dicembre 2010;;1,71
2010 - 2011;2010-50;13-19 dicembre 2010;;2,32
2010 - 2011;2010-51;20-26 dicembre 2010;;3,16
2010 - 2011;2010-52;27 dicembre 2010-2 gennaio 2011;;4,4
2010 - 2011;2011-01;3-9 gennaio 2011;;4,98
2010 - 2011;2011-02;10-16 gennaio 2011;;6,44
2010 - 2011;2011-03;17-23 gennaio 2011;;8,2
2010 - 2011;2011-04;24-30 gennaio 2011;;10,41
2010 - 2011;2011-05;31 gennaio-6 febbraio 2011;;11,04
2010 - 2011;2011-06;7-13 febbraio 2011;;10,05
2010 - 2011;2011-07;14-20 febbraio 2011;;7,77
2010 - 2011;2011-08;21-27 febbraio 2011;;5,45
2010 - 2011;2011-09;28 febbraio-6 marzo 2011;;4,12
2010 - 2011;2011-10;7-13 marzo 2011;;3,1
2010 - 2011;2011-11;14-20 marzo 2011;;2,1
2010 - 2011;2011-12;21-27 marzo 2011;;1,63
2010 - 2011;2011-13;28 marzo-3 aprile 2011;;1,14
2010 - 2011;2011-14;4-10 aprile 2011;;0,94
2010 - 2011;2011-15;11-17 aprile 2011;;0,82
2010 - 2011;2011-16;18-24 aprile 2011;;0,67
2010 - 2011;2011-17;25 aprile-1 maggio 2011;;0,52
2011 - 2012;2011-42;17-23 ottobre 2011;28.300;0,47
2011 - 2012;2011-43;24-30 ottobre 2011;32.900;0,54
2011 - 2012;2011-44;31 ottobre-6 novembre 2011;32.300;0,53
2011 - 2012;2011-45;7-13 novembre 2011;43.900;0,72
2011 - 2012;2011-46;14-20 novembre 2011;53.900;0,89
2011 - 2012;2011-47;21-27 novembre 2011;68.900;1,14
2011 - 2012;2011-48;28 novembre-4 dicembre 2011;78.300;1,29
2011 - 2012;2011-49;5-11 dicembre 2011;82.800;1,36
2011 - 2012;2011-50;12-18 dicembre 2011;106.600;1,76
2011 - 2012;2011-51;19-25 dicembre 2011;133.300;2,2
2011 - 2012;2011-52;26 dicembre 2011-1 gennaio 2012;186.400;3,07
2011 - 2012;2012-01;2-8 gennaio 2012;189.600;3,13
2011 - 2012;2012-02;9-15 gennaio 2012;257.100;4,24
2011 - 2012;2012-03;16-22 gennaio 2012;382.500;6,31
2011 - 2012;2012-04;23-29 gennaio 2012;537.300;8,86
2011 - 2012;2012-05;30 gennaio-5 febbraio 2012;584.200;9,63
2011 - 2012;2012-06;6-12 febbraio 2012;537.800;8,87
2011 - 2012;2012-07;13-19 febbraio 2012;432.300;7,13
2011 - 2012;2012-08;20-26 febbraio 2012;348.600;5,75
2011 - 2012;2012-09;27 febbraio-4 marzo 2012;243.900;4,02
2011 - 2012;2012-10;5-11 marzo 2012;178.800;2,95
2011 - 2012;2012-11;12-18 marzo 2012;128.900;2,13
2011 - 2012;2012-12;19-25 marzo 2012;90.300;1,49
2011 - 2012;2012-13;26 marzo-1 aprile 2012;67.200;1,11
2011 - 2012;2012-14;2-8 aprile 2012;50.400;0,83
2011 - 2012;2012-15;9-15 aprile 2012;49.900;0,82
2011 - 2012;2012-16;16-22 aprile 2012;40.800;0,67
2011 - 2012;2012-17;23-29 aprile 2012;27.000;0,45
2011 - 2012;;Totale;4.994.200;
2012 - 2013;2012-42;15-21 ottobre 2012;20.500;0,34
2012 - 2013;2012-43;22-28 ottobre 2012;28.000;0,46
2012 - 2013;2012-44;29 ottobre-4 novembre 2012;31.200;0,51
2012 - 2013;2012-45;5-11 novembre 2012;42.000;0,69
2012 - 2013;2012-46;12-18 novembre 2012;46.700;0,77
2012 - 2013;2012-47;19-25 novembre 2012;53.800;0,89
2012 - 2013;2012-48;26 novembre-2 dicembre 2012;65.100;1,07
2012 - 2013;2012-49;3-9 dicembre 2012;79.600;1,31
2012 - 2013;2012-50;10-16 dicembre 2012;101.600;1,67
2012 - 2013;2012-51;17-23 dicembre 2012;135.700;2,24
2012 - 2013;2012-52;24-30 dicembre 2012;155.400;2,56
2012 - 2013;2013-01;31 dicembre 2012-6 gennaio 2013;213.600;3,52
2012 - 2013;2013-02;7-13 gennaio 2013;314.200;5,18
2012 - 2013;2013-03;14-20 gennaio 2013;402.600;6,64
2012 - 2013;2013-04;21-27 gennaio 2013;500.200;8,25
2012 - 2013;2013-05;28 gennaio-3 febbraio 2013;579.700;9,57
2012 - 2013;2013-06;4-10 febbraio 2013;605.000;9,99
2012 - 2013;2013-07;11-17 febbraio 2013;589.000;9,72
2012 - 2013;2013-08;18-24 febbraio 2013;559.400;9,24
2012 - 2013;2013-09;25 febbraio-3 marzo 2013;464.600;7,68
2012 - 2013;2013-10;4-10 marzo 2013;358.100;5,94
2012 - 2013;2013-11;11-17 marzo 2013;259.500;4,31
2012 - 2013;2013-12;18-24 marzo 2013;193.000;3,2
2012 - 2013;2013-13;25-31 marzo 2013;132.000;2,22
2012 - 2013;2013-14;1-7 aprile 2013;93.900;1,56
2012 - 2013;2013-15;8-14 aprile 2013;69.400;1,14
2012 - 2013;2013-16;15-21 aprile 2013;47.000;0,73
2012 - 2013;2013-17;22-28 aprile 2013;31.200;0,51
2012 - 2013;;Totale;6.172.000;
2013 - 2014;2013-42;14-20 ottobre 2013;21.700;0,36
2013 - 2014;2013-43;21-27 ottobre 2013;27.500;0,46
2013 - 2014;2013-44;28 ottobre-3 novembre 2013;27.100;0,46
2013 - 2014;2013-45;4-10 novembre 2013;39.800;0,67
2013 - 2014;2013-46;11-17 novembre 2013;45.900;0,77
2013 - 2014;2013-47;18-24 novembre 2013;56.400;0,95
2013 - 2014;2013-48;25 novembre-1 dicembre 2013;73.000;1,23
2013 - 2014;2013-49;2-8 dicembre 2013;84.500;1,42
2013 - 2014;2013-50;9-15 dicembre 2013;101.400;1,71
2013 - 2014;2013-51;16-22 dicembre 2013;116.000;1,95
2013 - 2014;2013-52;23-29 dicembre 2013;132.700;2,23
2013 - 2014;2014-01;30 dicembre 2013-5 gennaio 2014;175.800;2,96
2013 - 2014;2014-02;6-12 gennaio 2014;244.800;4,12
2013 - 2014;2014-03;13-19 gennaio 2014;297.000;5,05
2013 - 2014;2014-04;20-26 gennaio 2014;340.600;5,79
2013 - 2014;2014-05;27 gennaio-2 febbraio 2014;386.600;6,55
2013 - 2014;2014-06;3-9 febbraio 2014;393.000;6,67
2013 - 2014;2014-07;10-16 febbraio 2014;369.200;6,27
2013 - 2014;2014-08;17-23 febbraio 2014;326.500;5,54
2013 - 2014;2014-09;24 febbraio-2 marzo 2014;278.700;4,73
2013 - 2014;2014-10;3-9 marzo 2014;232.100;3,94
2013 - 2014;2014-11;10-16 marzo 2014;199.300;3,38
2013 - 2014;2014-12;17-23 marzo 2014;168.400;2,88
2013 - 2014;2014-13;24-30 marzo 2014;120.200;2,07
2013 - 2014;2014-14;31 marzo-6 aprile 2014;95.200;1,64
2013 - 2014;2014-15;7-13 aprile 2014;71.900;1,23
2013 - 2014;2014-16;14-20 aprile 2014;49.500;0,9
2013 - 2014;2014-17;21-27 aprile 2014;26.800;0,55
2013 - 2014;;Totale;4.501.600;
2014 - 2015;2014-42;13-19 ottobre 2014;21.500;0,35
2014 - 2015;2014-43;20-26 ottobre 2014;29.200;0,48
2014 - 2015;2014-44;27 ottobre-2 novembre 2014;39.500;0,65
2014 - 2015;2014-45;3-9 novembre 2014;49.000;0,81
2014 - 2015;2014-46;10-16 novembre 2014;51.400;0,85
2014 - 2015;2014-47;17-23 novembre 2014;62.700;1,03
2014 - 2015;2014-48;24-30 novembre 2014;74.800;1,23
2014 - 2015;2014-49;1-7 dicembre 2014;86.300;1,42
2014 - 2015;2014-50;8-14 dicembre 2014;106.200;1,75
2014 - 2015;2014-51;15-21 dicembre 2014;136.600;2,25
2014 - 2015;2014-52;22-28 dicembre 2014;159.800;2,63
2014 - 2015;2015-01;29 dicembre 2014-4 gennaio 2015;248.800;4,09
2014 - 2015;2015-02;5-11 gennaio 2015;373.500;6,14
2014 - 2015;2015-03;12-18 gennaio 2015;543.600;8,94
2014 - 2015;2015-04;19-25 gennaio 2015;660.500;10,87
2014 - 2015;2015-05;26 gennaio-1 febbraio 2015;643.200;10,58
2014 - 2015;2015-06;2-8 febbraio 2015;606.700;9,98
2014 - 2015;2015-07;9-15 febbraio 2015;499.400;8,22
2014 - 2015;2015-08;16-22 febbraio 2015;419.000;6,89
2014 - 2015;2015-09;23 febbraio-1 marzo 2015;332.600;5,47
2014 - 2015;2015-10;2-8 marzo 2015;264.300;4,35
2014 - 2015;2015-11;9-15 marzo 2015;264.300;3,73
2014 - 2015;2015-12;16-22 marzo 2015;195.000;3,21
2014 - 2015;2015-13;23-29 marzo 2015;148.400;2,44
2014 - 2015;2015-14;30 marzo-5 aprile 2015;115.600;1,9
2014 - 2015;2015-15;6-12 aprile 2015;90.100;1,48
2014 - 2015;2015-16;13-19 aprile 2015;69.600;1,15
2014 - 2015;2015-17;20-26 aprile 2015;45.500;0,75
2014 - 2015;;Totale;6.299.400;
2015 - 2016;2015-42;12-18 ottobre 2015;24.200;0,4
2015 - 2016;2015-43;19-25 ottobre 2015;30.400;0,5
2015 - 2016;2015-44;26 ottobre-1 novembre 2015;41.100;0,68
2015 - 2016;2015-45;2-8 novembre 2015;46.400;0,76
2015 - 2016;2015-46;9-15 novembre 2015;53.400;0,88
2015 - 2016;2015-47;16-22 novembre 2015;62.000;1,02
2015 - 2016;2015-48;23-29 novembre 2015;70.700;1,16
2015 - 2016;2015-49;30 novembre-6 dicembre 2015;73.300;1,21
2015 - 2016;2015-50;7-13 dicembre 2015;88.000;1,45
2015 - 2016;2015-51;14-20 dicembre 2015;101.100;1,66
2015 - 2016;2015-52;21-27 dicembre 2015;128.200;2,11
2015 - 2016;2015-53;28 dicembre 2015-3 gennaio 2016;113.600;1,87
2015 - 2016;2016-01;4-10 gennaio 2016;145.200;2,39
2015 - 2016;2016-02;11-17 gennaio 2016;167.700;2,76
2015 - 2016;2016-03;18-24 gennaio 2016;219.800;3,62
2015 - 2016;2016-04;25-31 gennaio 2016;287.400;4,73
2015 - 2016;2016-05;1-7 febbraio 2016;332.500;5,47
2015 - 2016;2016-06;8-14 febbraio 2016;368.300;6,06
2015 - 2016;2016-07;15-21 febbraio 2016;358.500;5,9
2015 - 2016;2016-08;22-28 febbraio 2016;373.400;6,14
2015 - 2016;2016-09;29 febbraio-6 marzo 2016;357.700;5,88
2015 - 2016;2016-10;7-13 marzo 2016;354.600;5,83
2015 - 2016;2016-11;14-20 marzo 2016;304.000;5
2015 - 2016;2016-12;21-27 marzo 2016;257.100;4,23
2015 - 2016;2016-13;28 marzo-3 aprile 2016;193.000;3,18
2015 - 2016;2016-14;4-10 aprile 2016;140.100;2,3
2015 - 2016;2016-15;11-17 aprile 2016;112.700;1,85
2015 - 2016;2016-16;18-24 aprile 2016;72.500;1,19
2015 - 2016;;Totale;4.876.900;
2016 - 2017;2016-42;17-23 ottobre 2016;36.000;0,59
2016 - 2017;2016-43;24-30 ottobre 2016;43.100;0,71
2016 - 2017;2016-44;31 ottobre-6 novembre 2016;49.100;0,81
2016 - 2017;2016-45;7-13 novembre 2016;59.400;0,98
2016 - 2017;2016-46;14-20 novembre 2016;75.900;1,25
2016 - 2017;2016-47;21-27 novembre 2016;95.900;1,58
2016 - 2017;2016-48;28 novembre-4 dicembre 2016;121.400;2
2016 - 2017;2016-49;5-11 dicembre 2016;152.700;2,52
2016 - 2017;2016-50;12-18 dicembre 2016;261.400;4,31
2016 - 2017;2016-51;19-25 dicembre 2016;439.100;7,24
2016 - 2017;2016-52;26 dicembre 2016-1 gennaio 2017;580.300;9,57
2016 - 2017;2017-01;2-8 gennaio 2017;551.200;9,09
2016 - 2017;2017-02;9-15 gennaio 2017;527.800;8,7
2016 - 2017;2017-03;16-22 gennaio 2017;461.700;7,61
2016 - 2017;2017-04;23-29 gennaio 2017;401.100;6,61
2016 - 2017;2017-05;30 gennaio-5 febbraio 2017;341.900;5,64
2016 - 2017;2017-06;6-12 febbraio 2017;258.000;4,25
2016 - 2017;2017-07;13-19 febbraio 2017;193.700;3,19
2016 - 2017;2017-08;20-26 febbraio 2017;160.000;2,64
2016 - 2017;2017-09;27 febbraio-5 marzo 2017;132.600;2,19
2016 - 2017;2017-10;6-12 marzo 2017;106.600;1,76
2016 - 2017;2017-11;13-19 marzo 2017;89.900;1,48
2016 - 2017;2017-12;20-26 marzo 2017;75.400;1,24
2016 - 2017;2017-13;27 marzo-2 aprile 2017;63.100;1,04
2016 - 2017;2017-14;3-9 aprile 2017;52.900;0,87
2016 - 2017;2017-15;10-16 aprile 2017;41.800;0,69
2016 - 2017;2017-16;17-23 aprile 2017;35.100;0,58
2016 - 2017;2017-17;24-30 aprile 2017;33.800;0,56
2016 - 2017;;Totale;5.440.900;
2017 - 2018;2017-42;16-22 ottobre 2017;53.900;0,89
2017 - 2018;2017-43;23-29 ottobre 2017;51.500;0,85
2017 - 2018;2017-44;30 ottobre-5 novembre 2017;57.300;0,95
2017 - 2018;2017-45;6-12 novembre 2017;75.000;1,24
2017 - 2018;2017-46;13-19 novembre 2017;96.800;1,6
2017 - 2018;2017-47;20-26 novembre 2017;112.100;1,85
2017 - 2018;2017-48;27 novembre-3 dicembre 2017;144.200;2,38
2017 - 2018;2017-49;4-10 dicembre 2017;188.600;3,11
2017 - 2018;2017-50;11-17 dicembre 2017;287.000;4,74
2017 - 2018;2017-51;18-24 dicembre 2017;436.600;7,21
2017 - 2018;2017-52;25-31 dicembre 2017;694.000;11,45
2017 - 2018;2018-01;1-7 gennaio 2018;835.800;13,8
2017 - 2018;2018-02;8-14 gennaio 2018;892.200;14,73
2017 - 2018;2018-03;15-21 gennaio 2018;840.500;13,87
2017 - 2018;2018-04;22-28 gennaio 2018;768.800;12,69
2017 - 2018;2018-05;29 gennaio-4 febbraio 2018;649.600;10,72
2017 - 2018;2018-06;5-11 febbraio 2018;543.100;8,97
2017 - 2018;2018-07;12-18 febbraio 2018;431.400;7,12
2017 - 2018;2018-08;19-25 febbraio 2018;378.100;6,24
2017 - 2018;2018-09;26 febbraio-4 marzo 2018;287.400;4,74
2017 - 2018;2018-10;5-11 marzo 2018;219.500;3,62
2017 - 2018;2018-11;12-18 marzo 2018;159.100;2,63
2017 - 2018;2018-12;19-25 marzo 2018;130.300;2,15
2017 - 2018;2018-13;26 marzo-1 aprile 2018;104.500;1,73
2017 - 2018;2018-14;2-8 aprile 2018;80.000;1,32
2017 - 2018;2018-15;9-15 aprile 2018;67.400;1,11
2017 - 2018;2018-16;16-22 aprile 2018;53.900;0,89
2017 - 2018;2018-17;23-29 aprile 2018;38.700;0,64
2017 - 2018;;Totale;8.677.300;
2018 - 2019;2018-42;15-21 ottobre 2018;47.500;0,79
2018 - 2019;2018-43;22-28 ottobre 2018;57.200;0,95
2018 - 2019;2018-44;29 ottobre-4 novembre 2018;60.900;1,01
2018 - 2019;2018-45;5-11 novembre 2018;88.900;1,47
2018 - 2019;2018-46;12-18 novembre 2018;107.300;1,77
2018 - 2019;2018-47;19-25 novembre 2018;128.500;2,13
2018 - 2019;2018-48;26 novembre-2 dicembre 2018;144.000;2,38
2018 - 2019;2018-49;3-9 dicembre 2018;166.300;2,75
2018 - 2019;2018-50;10-16 dicembre 2018;199.900;3,31
2018 - 2019;2018-51;17-23 dicembre 2018;224.400;3,71
2018 - 2019;2018-52;24-30 dicembre 2018;257.600;4,26
2018 - 2019;2019-01;31 dicembre 2018-6 gennaio 2019;346.100;5,72
