Regione;Settimana;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;43;44;45;46;47;48;49;50;51;52;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Umbria;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37 ;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <14,37;Inc <9,37;;;
Marche;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <3,16;Inc <3,16;Inc <9,37 ;Inc <3,16;Inc <9,37;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37 ;Inc <9,37;Inc <14,37;Inc <14,37;Inc <14,37;Inc <9,37;;;
Lazio;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <3,16;Inc <9,37;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;;;
Abruzzo;Inc <3,16;Inc <9,37;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;;;
Molise;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;;;
Campania;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;;;
Puglia;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;;;
Basilicata;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;;;
Calabria;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sicilia;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;;;
Sardegna;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <3,16;;;
ITALIA;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;;;
