Data;>=80 anni;>=80 anni_non_consolidati;Altri;Altri_non_consolidati
06/05/21;76;;112;
07/05/21;72;;119;
08/05/21;77;;97;
09/05/21;78;;90;
10/05/21;87;;109;
11/05/21;90;;107;
12/05/21;58;;95;
13/05/21;61;;84;
14/05/21;62;;85;
15/05/21;61;;76;
16/05/21;63;;62;
17/05/21;50;;90;
18/05/21;41;;78;
19/05/21;49;;58;
20/05/21;47;;76;
21/05/21;36;;54;
22/05/21;45;;63;
23/05/21;34;;55;
24/05/21;33;;53;
25/05/21;29;;62;
26/05/21;29;;52;
27/05/21;31;;57;
28/05/21;39;;39;
29/05/21;35;;37;
30/05/21;18;;31;
31/05/21;21;;41;
01/06/21;18;;44;
02/06/21;15;;25;
03/06/21;29;;41;
04/06/21;14;;35;
05/06/21;27;;31;
06/06/21;22;;29;
07/06/21;27;;36;
08/06/21;15;;26;
09/06/21;17;;21;
10/06/21;15;;19;
11/06/21;12;;21;
12/06/21;16;;20;
13/06/21;8;;16;
14/06/21;13;;24;
15/06/21;14;;16;
16/06/21;13;;22;
17/06/21;15;;12;
18/06/21;7;;16;
19/06/21;6;;12;
20/06/21;8;;15;
21/06/21;11;;7;
22/06/21;10;;15;
23/06/21;8;;14;
24/06/21;5;;16;
25/06/21;3;;8;
26/06/21;11;;9;
27/06/21;3;;9;
28/06/21;7;;11;
29/06/21;7;;8;
30/06/21;5;;10;
01/07/21;8;;6;
02/07/21;4;;7;
03/07/21;4;;9;
04/07/21;3;;6;
05/07/21;3;;9;
06/07/21;3;;5;
07/07/21;7;;3;
08/07/21;4;;8;
09/07/21;4;;5;
10/07/21;1;;10;
11/07/21;1;;6;
12/07/21;5;;6;
13/07/21;3;;5;
14/07/21;6;;7;
15/07/21;4;;5;
16/07/21;3;;3;
17/07/21;5;;2;
18/07/21;3;;2;
19/07/21;8;;4;
20/07/21;7;;3;
21/07/21;5;;8;
22/07/21;6;;4;
23/07/21;3;;4;
24/07/21;3;;6;
25/07/21;3;;5;
26/07/21;5;;8;
27/07/21;12;;4;
28/07/21;2;;3;
29/07/21;9;;6;
30/07/21;2;;4;
31/07/21;6;;7;
01/08/21;7;;5;
02/08/21;9;;8;
03/08/21;8;;11;
04/08/21;9;;10;
05/08/21;12;;6;
06/08/21;9;;9;
07/08/21;13;;11;
08/08/21;9;;5;
09/08/21;10;;7;
10/08/21;12;;5;
11/08/21;19;;14;
12/08/21;14;;14;
13/08/21;15;;15;
14/08/21;15;;19;
15/08/21;;14;;11
16/08/21;;12;;17
17/08/21;;19;;24
18/08/21;;15;;18
19/08/21;;21;;19
20/08/21;;19;;18
21/08/21;;13;;9
22/08/21;;13;;22
23/08/21;;23;;11
24/08/21;;16;;23
25/08/21;;19;;22
26/08/21;;13;;14
27/08/21;;21;;16
28/08/21;;9;;13
