Settimana del;Positivi;Sintomatici
2021-03-27;0,87;0,88
2021-03-28;0,83;0,83
2021-03-29;0,79;0,79
2021-03-30;0,75;0,75
2021-03-31;0,73;0,74
2021-04-01;0,73;0,73
2021-04-02;0,73;0,74
2021-04-03;0,75;0,75
2021-04-04;0,78;0,78
2021-04-05;0,81;0,81
2021-04-06;0,85;0,85
2021-04-07;0,89;0,89
2021-04-08;0,94;0,94
2021-04-09;0,98;0,98
2021-04-10;1,01;1,01
2021-04-11;1,04;1,04
2021-04-12;1,07;1,07
2021-04-13;1,07;1,07
2021-04-14;1,06;1,06
2021-04-15;1,05;1,05
2021-04-16;1,04;1,04
2021-04-17;1,03;1,03
2021-04-18;1,02;1,02
2021-04-19;1,01;1,01
2021-04-20;0,98;0,98
2021-04-21;0,99;0,99
2021-04-22;1,01;1,01
2021-04-23;1,04;1,04
2021-04-24;1,07;1,07
2021-04-25;1,10;1,10
2021-04-26;1,14;1,14
2021-04-27;1,18;1,18
2021-04-28;1,21;1,21
2021-04-29;1,23;1,23
2021-04-30;1,23;1,23
2021-05-01;1,22;1,22
2021-05-02;1,19;1,19
2021-05-03;1,15;1,15
2021-05-04;1,08;1,08
2021-05-05;1,02;1,02
2021-05-06;0,95;0,95
2021-05-07;0,89;0,89
2021-05-08;0,83;0,83
2021-05-09;0,77;0,77
2021-05-10;0,73;0,73
2021-05-11;0,69;0,69
2021-05-12;0,66;0,66
2021-05-13;0,64;0,64
2021-05-14;0,63;0,63
2021-05-15;0,64;0,64
2021-05-16;0,64;0,64
2021-05-17;0,66;0,66
2021-05-18;0,68;0,68
2021-05-19;0,68;0,68
2021-05-20;0,67;0,67
2021-05-21;0,67;0,67
2021-05-22;0,66;0,66
2021-05-23;0,66;0,66
2021-05-24;0,67;0,67
2021-05-25;0,70;0,70
2021-05-26;0,73;0,73
2021-05-27;0,77;0,77
2021-05-28;0,83;0,83
2021-05-29;0,89;0,89
2021-05-30;0,96;0,96
2021-05-31;1,02;1,02
2021-06-01;1,08;1,08
2021-06-02;1,10;1,10
2021-06-03;1,11;1,11
2021-06-04;1,09;1,09
2021-06-05;1,06;1,06
2021-06-06;1,01;1,01
2021-06-07;0,93;0,93
2021-06-08;0,86;0,86
2021-06-09;0,78;0,78
2021-06-10;0,69;0,69
2021-06-11;0,62;0,62
2021-06-12;0,55;0,55
2021-06-13;0,54;0,54
2021-06-14;0,53;0,53
2021-06-15;0,52;0,52
2021-06-16;0,53;0,53
2021-06-17;0,57;0,57
2021-06-18;0,62;0,62
2021-06-19;0,68;0,68
2021-06-20;0,74;0,74
2021-06-21;0,80;0,80
2021-06-22;0,84;0,84
2021-06-23;0,88;1,04
2021-06-24;0,89;1,07
2021-06-25;0,88;1,06
;1,00;1,00
;0,95;0,95
