Data;Etˆ;Incidenza
10/05/21;0-9;98
10/05/21;10_19;108
10/05/21;20-29;88
10/05/21;30-39;87
10/05/21;40-49;86
10/05/21;50-59;72
10/05/21;60-69;58
10/05/21;70-79;41
10/05/21;80-89;27
10/05/21;90+;42
17/05/21;0-9;63
17/05/21;10_19;79
17/05/21;20-29;61
17/05/21;30-39;59
17/05/21;40-49;60
17/05/21;50-59;51
17/05/21;60-69;37
17/05/21;70-79;26
17/05/21;80-89;18
17/05/21;90+;24
24/05/21;0-9;43
24/05/21;10_19;59
24/05/21;20-29;49
24/05/21;30-39;45
24/05/21;40-49;44
24/05/21;50-59;38
24/05/21;60-69;24
24/05/21;70-79;18
24/05/21;80-89;13
24/05/21;90+;19
31/05/21;0-9;31
31/05/21;10_19;43
31/05/21;20-29;39
31/05/21;30-39;35
31/05/21;40-49;32
31/05/21;50-59;26
31/05/21;60-69;17
31/05/21;70-79;12
31/05/21;80-89;10
31/05/21;90+;12
07/06/21;0-9;22
07/06/21;10_19;29
07/06/21;20-29;30
07/06/21;30-39;26
07/06/21;40-49;23
07/06/21;50-59;18
07/06/21;60-69;12
07/06/21;70-79;8
07/06/21;80-89;7
07/06/21;90+;11
14/06/21;0-9;14
14/06/21;10_19;20
14/06/21;20-29;21
14/06/21;30-39;16
14/06/21;40-49;14
14/06/21;50-59;10
14/06/21;60-69;7
14/06/21;70-79;6
14/06/21;80-89;5
14/06/21;90+;9
21/06/21;0-9;9
21/06/21;10_19;13
21/06/21;20-29;17
21/06/21;30-39;11
21/06/21;40-49;10
21/06/21;50-59;7
21/06/21;60-69;5
21/06/21;70-79;4
21/06/21;80-89;4
21/06/21;90+;5
28/06/21;0-9;8
28/06/21;10_19;18
28/06/21;20-29;22
28/06/21;30-39;12
28/06/21;40-49;9
28/06/21;50-59;7
28/06/21;60-69;4
28/06/21;70-79;3
28/06/21;80-89;3
28/06/21;90+;3
05/07/21;0-9;10
05/07/21;10_19;35
05/07/21;20-29;37
05/07/21;30-39;19
05/07/21;40-49;12
05/07/21;50-59;9
05/07/21;60-69;6
05/07/21;70-79;5
05/07/21;80-89;4
05/07/21;90+;4
12/07/21;0-9;18
12/07/21;10_19;86
12/07/21;20-29;88
12/07/21;30-39;36
12/07/21;40-49;23
12/07/21;50-59;19
12/07/21;60-69;11
12/07/21;70-79;7
12/07/21;80-89;7
12/07/21;90+;8
19/07/21;0-9;34
19/07/21;10_19;136
19/07/21;20-29;131
19/07/21;30-39;62
19/07/21;40-49;42
19/07/21;50-59;34
19/07/21;60-69;20
19/07/21;70-79;13
19/07/21;80-89;13
19/07/21;90+;13
26/07/21;0-9;49
26/07/21;10_19;158
26/07/21;20-29;151
26/07/21;30-39;72
26/07/21;40-49;54
26/07/21;50-59;42
26/07/21;60-69;27
26/07/21;70-79;18
26/07/21;80-89;19
26/07/21;90+;21
02/08/21;0-9;61
02/08/21;10_19;164
02/08/21;20-29;153
02/08/21;30-39;83
02/08/21;40-49;61
02/08/21;50-59;49
02/08/21;60-69;34
02/08/21;70-79;24
02/08/21;80-89;23
02/08/21;90+;26
09/08/21;0-9;67
09/08/21;10_19;146
09/08/21;20-29;139
09/08/21;30-39;85
09/08/21;40-49;66
09/08/21;50-59;54
09/08/21;60-69;39
09/08/21;70-79;30
09/08/21;80-89;30
09/08/21;90+;37
16/08/21;0-9;77
16/08/21;10_19;137
16/08/21;20-29;133
16/08/21;30-39;92
16/08/21;40-49;73
16/08/21;50-59;59
16/08/21;60-69;42
16/08/21;70-79;32
16/08/21;80-89;36
16/08/21;90+;44
23/08/21;0-9;82
23/08/21;10_19;124
23/08/21;20-29;119
23/08/21;30-39;97
23/08/21;40-49;77
23/08/21;50-59;58
23/08/21;60-69;43
23/08/21;70-79;34
23/08/21;80-89;35
23/08/21;90+;44
