"period_start","period_end","publication","url","variant","number_cases","percent_cases_variant","variant_sex_female","percent_variant_female","variant_sex_male","percent_variant_male","native_case","imported_case","period_start_last_45_days","period_end_last_45_days","number_cases_last_45_days","perc_cases_last_45_days","variant_sex_female_last_45_days","percent_variant_female_last_45_days","variant_sex_male_last_45_days","percent_variant_male_last_45_days","native_case_last_45_days","imported_case_last_45_days"
"28/12/20","21/06/21","25/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_3/Bollettino_varianti_3.pdf","Other",4898,15.72,2416,15.54,2482,15.89,4796,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","05/07/21","09/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_4/Bollettino_varianti_4.pdf","B.1.1.7",24893,73.46,12508,74.31,12385,72.63,24693,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","05/07/21","09/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_4/Bollettino_varianti_4.pdf","B.1.351",265,0.78,121,0.72,144,0.84,256,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","05/07/21","09/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_4/Bollettino_varianti_4.pdf","P.1",2351,6.94,1155,6.86,1196,7.01,2329,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","05/07/21","09/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_4/Bollettino_varianti_4.pdf","P.2",4,0.01,0,0,4,0.02,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","05/07/21","09/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_4/Bollettino_varianti_4.pdf","B.1.525",388,1.15,153,0.91,235,1.38,332,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","05/07/21","09/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_4/Bollettino_varianti_4.pdf","B.1.1.7 + E484K",31,0.09,14,0.08,17,0.1,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","05/07/21","09/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_4/Bollettino_varianti_4.pdf","B.1.617.1/2",788,2.33,349,2.07,439,2.57,746,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","05/07/21","09/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_4/Bollettino_varianti_4.pdf","B.1.617.1",2,0.01,1,0.01,1,0.01,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","05/07/21","09/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_4/Bollettino_varianti_4.pdf","B.1.617.2",190,0.56,77,0.46,113,0.66,154,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","05/07/21","09/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_4/Bollettino_varianti_4.pdf","Other",4974,14.68,2455,14.58,2519,14.77,4856,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","19/07/21","23/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_5/Bollettino_varianti_5.pdf","B.1.1.7",26195,69.73,13124,70.96,13071,68.54,1713,34,"05/06/21","19/07/21",1747,35.24,850,37.78,897,33.12,NA,NA
"28/12/20","19/07/21","23/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_5/Bollettino_varianti_5.pdf","B.1.1.7 + E484K",66,0.18,33,0.18,33,0.17,33,0,"05/06/21","19/07/21",33,0.67,15,0.67,18,0.66,NA,NA
"28/12/20","19/07/21","23/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_5/Bollettino_varianti_5.pdf","B.1.351",275,0.73,128,0.69,147,0.77,15,1,"05/06/21","19/07/21",16,0.32,8,0.36,8,0.32,NA,NA
"28/12/20","19/07/21","23/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_5/Bollettino_varianti_5.pdf","P.1",2576,6.86,1267,6.85,1309,6.86,347,8,"05/06/21","19/07/21",355,7.16,174,7.73,181,6.68,NA,NA
"28/12/20","19/07/21","23/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_5/Bollettino_varianti_5.pdf","B.1.617.2",2610,6.95,1121,6.06,1489,7.81,2033,246,"05/06/21","19/07/21",2279,45.97,990,43.99,1289,47.6,NA,NA
"28/12/20","19/07/21","23/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_5/Bollettino_varianti_5.pdf","B.1.525",415,1.1,168,0.91,247,1.3,22,10,"05/06/21","19/07/21",32,0.65,13,0.58,19,0.7,NA,NA
"28/12/20","19/07/21","23/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_5/Bollettino_varianti_5.pdf","B.1.617.1",94,0.25,39,0.21,55,0.29,67,0,"05/06/21","19/07/21",67,1.35,26,1.16,41,1.51,NA,NA
"28/12/20","19/07/21","23/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_5/Bollettino_varianti_5.pdf","B.1.617.3",2,0.01,2,0.01,0,0,2,0,"05/06/21","19/07/21",2,0.04,2,0.09,0,0,NA,NA
"28/12/20","19/07/21","23/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_5/Bollettino_varianti_5.pdf","P.2",4,0.01,0,0,4,0.02,2,0,"05/06/21","19/07/21",2,0.04,0,0,2,0.07,NA,NA
"28/12/20","19/07/21","23/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_5/Bollettino_varianti_5.pdf","B.1.617.1/2",134,0.36,59,0.32,75,0.39,58,7,"05/06/21","19/07/21",65,1.31,19,0.84,46,1.7,NA,NA
"28/12/20","19/07/21","23/07/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_5/Bollettino_varianti_5.pdf","Other",5194,13.83,2553,13.8,2641,13.85,329,31,"05/06/21","19/07/21",360,7.26,153,6.8,207,7.64,NA,NA
"28/12/20","02/08/21","06/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_6/Bollettino_varianti_6.pdf","B.1.1.7",26738,63.5,13385,65.1,13353,61.9,26505,233,"19/06/21","02/08/21",1340,17.3,642,18.5,698,16.3,1303,37
"28/12/20","02/08/21","06/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_6/Bollettino_varianti_6.pdf","B.1.1.7 + E484K",69,0.2,33,0.2,36,0.2,69,0,"19/06/21","02/08/21",19,0.2,8,0.2,11,0.3,19,0
"28/12/20","02/08/21","06/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_6/Bollettino_varianti_6.pdf","B.1.351",278,0.7,131,0.6,147,0.7,268,10,"19/06/21","02/08/21",9,0.1,7,0.2,2,0.1,7,2
"28/12/20","02/08/21","06/08/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_6/Bollettino_varianti_6.pdf","P.1",2704,6.4,1330,6.5,1374,6.4,2675,29,"19/06/21","02/08/21",305,3.9,151,2.2,154,3.6,299,6
